id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm
17345-C-001;;Cimetière;;Saint-Hilaire-du-Bois;17345;Auto-stop;26/02/2020;True;810157982.0;-0.498044;45.415476;;;;;;False;
45281-C-001;;Mairie - Bourg - double sens;Grande Rue;Saint-Hilaire-les-Andresis;45281;Auto-stop;19/09/2019;True;810157982.0;3.0124974;48.0530866;;;;;;True;
19210-C-001;;La mairie;Le Bourg;Saint-Hilaire-Luc;19210;Auto-stop;17/10/2017;True;810157982.0;2.20675;45.361852;;;;;;True;
45283-C-001;;Mairie de Saint-Hilaire-sur-Puiseaux;120 Le Bourg;Saint-Hilaire-sur-Puiseaux;45283;Auto-stop;15/01/2021;True;810157982.0;2.7059422;47.9019919;;;;;;True;
12228-C-001;;Saint-Izaire - Aire de Covoiturage;La Planque;Saint-Izaire;12228;Auto-stop;17/10/2017;True;810157982.0;2.7210269;43.9731004;;;;;;True;
12229-C-001;;Saint-Jean d'Alcapiès;Le Bourg  Croisement rue Jean Moulin;Saint-Jean-d'Alcapies;12229;Auto-stop;17/10/2017;True;810157982.0;2.9722605;43.9516204;;;;;;True;
73244-C-001;;Villarly sens descendant;;Saint-Jean-de-Belleville;73244;Auto-stop;20/06/2019;True;810157982.0;6.4901906;45.4376614;;;;;;False;
34264-C-001;;Aire de jeux;Aire de jeux  D122E2;Saint-Jean-de-Bueges;34264;Auto-stop;17/10/2017;True;810157982.0;3.618107;43.825467;;;;;;False;
34265-C-001;;Centre;"Arrêt de bus ""Centre"", Chemin de Montaud";Saint-Jean-de-Cornies;34265;Auto-stop;17/10/2017;True;810157982.0;4.001727;43.744317;;;;;;True;
73246-C-001;;Col de Couz vers Chambéry;;Saint-Jean-de-Couz;73246;Auto-stop;23/10/2017;True;810157982.0;5.818763;45.470334;;;;;;True;
34266-C-001;;Chemin du Pic Saint-Loup;Chemin du Pic Saint-Loup  Intersection D113E3/D113;Saint-Jean-de-Cuculles;34266;Auto-stop;17/10/2017;True;810157982.0;3.837538;43.751559;;;;;;True;
34267-C-001;;Place du Calvaire;;Saint-Jean-de-Fos;34267;Auto-stop;13/08/2020;True;810157982.0;3.5489481;43.7013131;;;;;;False;
40264-C-001;;La Lague;;Saint-Jean-de-Marsacq;40264;Auto-stop;17/10/2017;True;810157982.0;-1.260262;43.6266013;;;;;;True;
38402-C-001;;Le Pontet;Le Pontet;Saint-Jean-de-Vaulx;38402;Auto-stop;29/10/2020;True;810157982.0;5.760402;45.0071072;;;;;;True;
12231-C-001;;Place du manège;Place neuve;Saint-Jean-du-Bruel;12231;Auto-stop;17/09/2019;True;810157982.0;3.358789;44.023451;;;;;;True;
26307-C-001;;Saint-Jean Albert Chaloin;14 Avenue Albert Chaloin;Saint-Jean-en-Royans;26307;Auto-stop;10/05/2021;True;810157982.0;5.291144;45.020149;;;;;;True;
12232-C-001;;Saint Paul des Fonts;Route départementale 500;Saint-Jean-et-Saint-Paul;12232;Auto-stop;17/09/2019;True;810157982.0;3.0663391;43.9302068;;;;;;True;
38404-C-001;;L'Isle;;Saint-Jean-le-Vieux;38404;Auto-stop;21/12/2018;True;810157982.0;5.882657;45.208699;;;;;;False;
42239-C-001;;St Jean Bourg;D203;Saint-Jean-Saint-Maurice-sur-Loire;42239;Auto-stop;20/06/2019;True;810157982.0;4.00179;45.96706;;;;;;True;
38405-C-001;;Pont Demay D520;;Saint-Joseph-de-Riviere;38405;Auto-stop;17/10/2017;True;810157982.0;5.67841;45.36317;;;;;;;
12233-C-001;;Parking centre Rue de Saint-Juéry;;Saint-Juery;12233;Auto-stop;17/10/2017;True;810157982.0;2.694896;43.909921;;;;;;False;
09266-C-001;;St Julien de Gras Capou;;Saint-Julien-de-Gras-Capou;9266;Auto-stop;29/10/2019;True;810157982.0;1.8584477;43.0367257;;;;;;False;
30272-C-001;;Saint-Julien - Mairie;;Saint-Julien-de-la-Nef;30272;Auto-stop;20/11/2020;True;810157982.0;3.688011;43.964906;;;;;;False;
26309-C-001;;Saint-Julien - Mairie (direction nord);;Saint-Julien-en-Vercors;26309;Auto-stop;26/02/2020;True;810157982.0;5.44975;45.051275;;;;;;False;
60581-C-001;;Stade de foot synthétique;Rue de Montdidier;Saint-Just-en-Chaussee;60581;Auto-stop;20/06/2019;True;810157982.0;2.441849;49.509795;;;;;;True;
40268-C-001;;Ecole;Route des Pyrénées  40390;Saint-Laurent-de-Gosse;40268;Auto-stop;27/06/2018;True;810157982.0;-1.26937;43.533962;;;;;;True;
38412-C-001;;Le Guiers;Avenue de la Gare;Saint-Laurent-du-Pont;38412;Auto-stop;17/10/2017;True;810157982.0;5.737102;45.3876881;;;;;;True;
26311-C-001;;Saint Laurent  - Mairie;;Saint-Laurent-en-Royans;26311;Auto-stop;13/06/2019;True;810157982.0;5.325511;45.02805;;;;;;False;
78562-C-001;;Grande Rue (Vers Montfort);;Saint-Leger-en-Yvelines;78562;Auto-stop;17/10/2017;True;810157982.0;1.7671504;48.7220231;;;;;;False;
71441-C-001;;Arrêt Abribus double sens;;Saint-Leger-sous-la-Bussiere;71441;Auto-stop;27/04/2018;True;810157982.0;4.561445;46.311756;;;;;;True;
60584-C-001;;Art & Culture;7 Avenue Jules Ferry;Saint-Leu-d'Esserent;60584;Auto-stop;20/06/2019;True;810157982.0;2.4246151;49.217746;;;;;;True;
39489-C-001;;Saint-Lothain-1;26 route du Revermont;Saint-Lothain;39489;Auto-stop;26/04/2021;True;810157982.0;5.6437051;46.8254452;;;;;;False;
17357-C-001;;place de l'Eglise;;Saint-Maigrin;17357;Auto-stop;30/01/2020;True;810157982.0;-0.280295;45.418491;;;;;;True;
73253-C-001;;Saulcette Beauregard;;Saint-Marcel;73253;Auto-stop;30/03/2020;True;810157982.0;6.5548148;45.4954715;;;;;;True;
81262-C-001;;Aire de dépôt Les Moulines;D922;Saint-Marcel-Campes;81262;Auto-stop;17/10/2017;True;810157982.0;1.970317;44.06674;;;;;;False;
03244-C-001;;St Marcel en Marcillat;Route Départementale RD 435;Saint-Marcel-en-Marcillat;3244;Auto-stop;25/04/2018;True;810157982.0;2.5903915;46.1449246;;;;;;False;
27563-C-001;;La Bréhallerie;40 rue de Germare  (à proximité de l'abribus);Saint-Mards-de-Blacarville;27563;Auto-stop;22/10/2020;True;810157982.0;0.49292;49.373299;;;;;;True;
30283-C-001;;Saint-Martial;;Saint-Martial;30283;Auto-stop;20/11/2020;True;810157982.0;3.735269;44.033855;;;;;;False;
17362-C-001;;Eglise;Rue du Bourg;Saint-Martial-de-Mirambeau;17362;Auto-stop;15/05/2020;True;810157982.0;-0.59382;45.3816;;;;;;True;
17363-C-001;;Rue des Cèdres;;Saint-Martial-de-Vitaterne;17363;Auto-stop;22/01/2020;True;810157982.0;-0.433003;45.46103;;;;;;True;
17364-C-001;;Ecole;Rue de la Petite Champagne;Saint-Martial-sur-Ne;17364;Auto-stop;13/05/2020;True;810157982.0;-0.365585;45.582682;;;;;;True;
60585-C-001;;Vaumont;Chaussée Brunehaut;Saint-Martin-aux-Bois;60585;Auto-stop;20/06/2019;True;810157982.0;2.559628;49.530178;;;;;;True;
17365-C-001;;12 route de Chevanceaux;12 route de Chevanceaux;Saint-Martin-d'Ary;17365;Auto-stop;26/02/2020;True;810157982.0;-0.192069;45.220036;;;;;;False;
17366-C-001;;Route de la Clotte;;Saint-Martin-de-Coux;17366;Auto-stop;12/05/2020;True;810157982.0;-0.109057;45.144674;;;;;;False;
40272-C-001;;Mairie;EUROPE (RUE DE L') - 40390 SAINT-MARTIN-DE-HINX;Saint-Martin-de-Hinx;40272;Auto-stop;17/10/2017;True;810157982.0;-1.269943;43.5816697;;;;;;True;
84113-C-001;;Parking Belle Étoile;Chemin de Langesse;Saint-Martin-de-la-Brasque;84113;Auto-stop;27/09/2019;True;810157982.0;5.53331;43.775537;;;;;;False;
34274-C-001;;Route du Frouzet;Route du Frouzet  Intersection D122/Chemin des Abeilles;Saint-Martin-de-Londres;34274;Auto-stop;17/10/2017;True;810157982.0;3.732991;43.793878;;;;;;True;
40273-C-001;;Arremont;Avenue du Quartier Neuf;Saint-Martin-de-Seignanx;40273;Auto-stop;20/07/2018;True;810157982.0;-1.375125;43.535956;;;;;;False;
89352-C-001;;Abribus;1 rue de Saint-Fargeau;Saint-Martin-des-Champs;89352;Auto-stop;22/10/2020;True;810157982.0;3.03462;47.656558;;;;;;True;
81263-C-001;;Mairie;Centre bourg D922;Saint-Martin-Laguepie;81263;Auto-stop;17/10/2017;True;810157982.0;1.973324;44.14204;;;;;;False;
